               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.028888,            0.053493,                   0,             0.90118,             0.89221,             0.95431,             0.62856,            0.024673,            0.055714,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.029054,            0.056526,                   0,             0.91069,             0.88113,             0.95364,             0.63397,            0.025168,            0.059511,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.02846,            0.053575,                   0,             0.88744,             0.87141,             0.93655,              0.6131,            0.026304,            0.065865,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.02887,            0.054636,                   0,             0.90007,             0.89042,             0.95146,             0.63694,            0.024384,            0.058151,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.029394,            0.052797,                   0,             0.88366,             0.88105,             0.94077,             0.61667,            0.025587,            0.059951,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.028877,            0.053636,                   0,             0.89036,             0.90934,             0.95697,             0.65081,            0.023369,            0.055106,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.028355,            0.053746,                   0,              0.8887,             0.88518,             0.94592,              0.6253,            0.025471,            0.060233,                   0,            0.006007,            0.006007,            0.006007
                 123,             0.02867,            0.054904,                   0,              0.8903,             0.88767,             0.94652,             0.63953,            0.024067,            0.057749,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.02871,            0.054766,                   0,             0.91344,             0.87844,             0.95258,             0.64153,            0.024916,            0.058042,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.028226,            0.054168,                   0,             0.88179,             0.89631,             0.94556,             0.63176,            0.025134,            0.063413,                   0,            0.005908,            0.005908,            0.005908
                 126,              0.0277,            0.054659,                   0,             0.89491,             0.89455,             0.95363,             0.64108,            0.024055,            0.056977,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.027869,            0.053158,                   0,             0.90456,             0.88049,             0.95284,             0.62873,            0.025073,            0.059036,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.028205,            0.055383,                   0,             0.89172,             0.87568,              0.9426,             0.62466,            0.025088,              0.0605,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.028469,            0.052098,                   0,              0.8896,             0.86746,             0.93873,             0.61597,            0.025741,            0.066337,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.028055,            0.052812,                   0,             0.89291,             0.87432,             0.94375,             0.62616,            0.025002,            0.062695,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.028275,            0.053715,                   0,             0.90126,              0.8743,             0.94569,             0.61669,            0.025765,            0.059421,                   0,             0.00571,             0.00571,             0.00571
                 132,             0.02837,            0.053551,                   0,             0.90136,             0.88998,             0.95325,             0.64421,            0.023849,            0.056669,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.027612,            0.053193,                   0,             0.89747,             0.89543,             0.95326,             0.63584,            0.024612,            0.059261,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.028931,            0.053109,                   0,             0.89492,             0.88108,             0.94902,             0.63902,            0.023528,            0.056425,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.028306,            0.052962,                   0,             0.89783,             0.89895,             0.95638,             0.63699,            0.023956,            0.056025,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.027757,             0.05291,                   0,             0.89151,             0.87771,             0.94345,             0.62961,            0.025178,            0.061087,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.027872,            0.054805,                   0,             0.89961,             0.89646,             0.95387,             0.64306,            0.023701,            0.057838,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.027388,            0.052066,                   0,             0.89623,             0.90524,              0.9568,             0.65168,            0.023327,            0.055508,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.02743,            0.054153,                   0,              0.9136,             0.87595,             0.95095,             0.63548,            0.024376,            0.059297,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.028163,            0.052928,                   0,             0.88309,             0.89383,             0.94879,             0.63835,            0.023425,            0.056433,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.027803,            0.053325,                   0,             0.90642,             0.86955,             0.94791,             0.64031,            0.023675,            0.057168,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.027749,            0.054277,                   0,              0.8927,             0.88216,             0.94453,              0.6248,            0.025111,            0.059141,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.026796,            0.052555,                   0,             0.89992,             0.89949,             0.95794,             0.64589,            0.024012,            0.055272,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.028524,            0.053203,                   0,             0.88296,             0.90154,             0.95151,             0.64637,            0.023661,            0.056159,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.028263,            0.052248,                   0,             0.89856,             0.89558,             0.95526,             0.64553,            0.023825,            0.056732,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.028113,            0.053378,                   0,             0.88886,             0.90777,             0.95567,             0.64758,            0.023999,            0.055623,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.027924,             0.05222,                   0,             0.89709,             0.88884,              0.9519,              0.6405,            0.024342,             0.05544,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.027704,            0.051993,                   0,              0.8984,             0.89367,             0.95416,             0.64996,            0.023674,            0.055862,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.026953,            0.050578,                   0,             0.90113,             0.87903,             0.94771,             0.64083,            0.024272,            0.059728,                   0,            0.005116,            0.005116,            0.005116
                 150,              0.0265,            0.053909,                   0,             0.88293,             0.89469,             0.94808,             0.64332,            0.023985,            0.060088,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.027951,            0.052695,                   0,             0.89916,             0.89514,             0.95553,             0.64593,            0.023075,            0.055033,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.027595,            0.053281,                   0,              0.8953,             0.88723,              0.9503,             0.64918,            0.023614,            0.058201,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.027057,            0.051749,                   0,             0.91189,             0.87007,             0.95007,             0.64543,             0.02375,             0.06045,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.027923,            0.050436,                   0,              0.8893,             0.90126,             0.95276,             0.64459,            0.023561,             0.05611,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.026645,            0.051428,                   0,             0.91391,             0.87361,             0.95231,             0.64022,             0.02407,            0.057874,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.027328,            0.052292,                   0,             0.90132,             0.89496,             0.95557,              0.6455,            0.023518,            0.056417,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.027719,            0.051648,                   0,             0.90299,             0.88049,             0.95127,             0.63929,            0.024134,            0.058747,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.02702,            0.051599,                   0,             0.88715,             0.89458,             0.94688,             0.62642,            0.025446,            0.062911,                   0,            0.004819,            0.004819,            0.004819
